c resource constrained multi commodity flow
c Pacific
k 141 181 1 1000
k 142 181 19 600
k 143 181 16 1000
k 146 181 3 900
k 147 181 7 800
k 148 181 31 600
k 149 181 2 2200
k 150 181 39 3300
k 151 181 1 800
k 153 181 507 700
k 154 181 1 3200
k 155 181 272 3800
k 156 181 7 2700
k 158 181 96 400
k 159 181 43 600
k 160 181 4 4200
k 161 181 123 700
k 162 181 4 400
k 163 181 28 300
k 164 181 3 1900
k 165 181 7 2000
k 166 181 319 2800
k 168 181 27 2000
k 169 181 88 2600
k 171 181 2 300
k 172 181 3 300
k 130 182 9 4000
k 131 182 3 1400
k 134 182 92 1200
k 135 182 45 1200
k 136 182 6 1000
k 137 182 5 1000
k 138 182 7 500
k 142 182 18 1300
k 145 182 1 1400
k 146 182 12 1600
k 147 182 41 1400
k 148 182 36 1300
k 151 182 1 700
k 152 182 1 300
k 153 182 92 300
k 155 182 16 4800
k 159 182 37 300
k 161 182 151 400
k 163 182 35 1100
k 166 182 59 3500
k 168 182 5 3700
k 169 182 13 4300
k 171 182 14 900
k 172 182 13 500
k 131 183 9 1700
k 134 183 34 1300
k 136 183 7 1200
k 137 183 3 1100
k 138 183 5 1100
k 143 183 2 1800
k 151 183 2 600
k 153 183 19 400
k 161 183 1 900
k 163 183 28 1200
k 166 183 2 3700
k 172 183 3 600
k 130 184 5 2500
k 131 184 3 1700
k 134 184 19 1200
k 135 184 43 1600
k 136 184 4 1000
k 137 184 4 1000
k 138 184 3 1000
k 145 184 1 1500
k 146 184 1 1600
k 148 184 1 1400
k 151 184 1 500
k 152 184 1 600
k 153 184 48 300
k 159 184 51 300
k 161 184 24 500
k 163 184 35 1100
k 166 184 22 3600
k 168 184 2 3800
k 169 184 6 4500
k 171 184 4 1000
k 172 184 16 600
k 130 185 7 3400
k 153 185 9 2800
k 155 185 3 3800
k 159 185 2 1100
k 161 185 4 1300
k 164 185 5 2300
k 166 185 17 2300
k 168 185 2 3100
k 169 185 39 3800
k 130 186 11 3400
k 138 186 20 700
k 140 186 2 1400
k 150 186 3 3400
k 153 186 52 1100
k 156 186 2 4000
k 159 186 8 1100
k 161 186 69 1300
k 163 186 1 1000
k 166 186 102 1700
k 168 186 6 2600
k 169 186 32 3700
k 139 187 3 1500
k 141 187 2 1500
k 148 187 12 500
k 153 187 2 3700
k 155 187 1 3800
k 161 187 5 1400
k 170 187 1 1600
k 131 188 12 1200
k 134 188 9 1100
k 137 188 4 900
k 138 188 16 700
k 141 188 1 1700
k 148 188 2 1300
k 153 188 12 1400
k 157 188 2 1400
k 159 188 4 1400
k 161 188 4 1200
k 163 188 1 1000
k 138 189 7 700
k 139 189 12 1400
k 141 189 4 1400
k 150 189 2 3300
k 151 189 1 1200
k 153 189 96 1100
k 155 189 10 3800
k 157 189 1 1300
k 159 189 29 1100
k 161 189 272 1200
k 164 189 5 1400
k 166 189 96 2200
k 168 189 32 2000
k 172 189 4 900
k 130 190 83 1500
k 135 190 3 1000
k 137 190 9 700
k 138 190 18 700
k 139 190 6 1500
k 140 190 1 1600
k 141 190 4 1700
k 148 190 4 700
k 149 190 11 2300
k 150 190 31 3400
k 152 190 3 1400
k 153 190 149 1400
k 155 190 114 3700
k 156 190 6 2200
k 157 190 5 1500
k 159 190 44 1200
k 160 190 1 3100
k 161 190 100 1200
k 163 190 6 1000
k 164 190 22 1000
k 165 190 1 2200
k 166 190 228 1600
k 168 190 104 1800
k 169 190 178 1800
k 172 190 3 1000
k 130 191 52 2800
k 131 191 9 500
k 134 191 3 400
k 137 191 10 600
k 138 191 50 700
k 140 191 2 1100
k 143 191 5 500
k 146 191 34 500
k 147 191 20 500
k 149 191 4 2200
k 150 191 47 3400
k 151 191 7 1000
k 153 191 173 900
k 155 191 100 3000
k 156 191 6 3000
k 157 191 2 1400
k 159 191 42 1100
k 160 191 5 4600
k 161 191 22 1200
k 163 191 10 1000
k 164 191 5 1400
k 166 191 380 2600
k 168 191 96 2300
k 169 191 197 3100
k 131 192 1 2300
k 135 192 3 2000
k 147 192 2 1900
k 131 193 87 3200
k 132 193 8 3700
k 134 193 193 2200
k 135 193 10 3200
k 136 193 23 3300
k 137 193 191 2500
k 138 193 45 2600
k 139 193 8 4000
k 147 193 5 1600
k 148 193 103 1900
k 152 193 4 3600
k 153 193 15 3300
k 155 193 23 500
k 158 193 1 7000
k 160 193 5 400
k 161 193 48 3700
k 163 193 7 2800
k 166 193 38 500
k 170 193 2 3800
k 171 193 7 3500
k 172 193 4 3400
k 131 194 7 1500
k 133 194 16 1700
k 134 194 17 1300
k 135 194 10 1400
k 137 194 26 800
k 138 194 5 900
k 139 194 4 800
k 142 194 1 1500
k 147 194 2 1700
k 148 194 14 1200
k 149 194 3 3800
k 153 194 36 500
k 159 194 3 500
k 163 194 12 1200
k 166 194 1 3400
k 168 194 1 3100
k 169 194 3 4400
k 171 194 4 1200
k 172 194 2 800
k 131 195 4 1200
k 134 195 116 1200
k 135 195 12 1200
k 136 195 9 1000
k 137 195 20 700
k 138 195 5 800
k 139 195 6 600
k 140 195 6 700
k 142 195 27 1400
k 143 195 1 1600
k 146 195 6 1600
k 147 195 44 1600
k 148 195 7 1200
k 149 195 2 3800
k 151 195 5 400
k 153 195 39 300
k 155 195 5 4700
k 159 195 13 400
k 161 195 80 600
k 163 195 38 1100
k 166 195 25 3600
k 168 195 2 3500
k 169 195 5 4400
k 170 195 1 900
k 171 195 11 1100
k 172 195 12 700
k 130 196 16 4800
k 131 196 715 1300
k 132 196 95 900
k 133 196 6 2200
k 134 196 1739 900
k 135 196 403 1200
k 136 196 346 800
k 137 196 1202 700
k 138 196 1066 700
k 139 196 197 300
k 140 196 13 300
k 141 196 30 900
k 142 196 131 1100
k 143 196 255 1400
k 144 196 31 2900
k 145 196 6 1200
k 146 196 160 1000
k 147 196 506 1300
k 148 196 1147 1100
k 150 196 35 4500
k 151 196 24 300
k 152 196 118 300
k 155 196 2938 2100
k 156 196 18 3900
k 157 196 5 2500
k 158 196 32 1100
k 159 196 184 800
k 160 196 1 5000
k 161 196 866 300
k 162 196 75 1200
k 163 196 189 800
k 166 196 95 2500
k 168 196 110 3000
k 169 196 72 3000
k 171 196 49 600
k 172 196 66 900
k 131 197 4 4200
k 134 197 15 3200
k 135 197 4 4200
k 136 197 1 3600
k 137 197 16 3500
k 138 197 7 3300
k 148 197 9 3000
k 155 197 9 600
k 163 197 8 3800
k 166 197 6 1200
k 131 198 223 3300
k 132 198 34 3900
k 133 198 11 3800
k 134 198 857 2700
k 135 198 283 3700
k 136 198 208 3200
k 137 198 1219 3100
k 138 198 444 3100
k 139 198 41 4200
k 140 198 9 3700
k 141 198 37 4500
k 142 198 4 4300
k 143 198 10 3100
k 146 198 5 2500
k 147 198 35 2200
k 148 198 64 2500
k 150 198 52 500
k 151 198 17 3900
k 152 198 26 3500
k 153 198 2241 300
k 154 198 2 1600
k 156 198 270 300
k 157 198 24 4400
k 158 198 17 3600
k 159 198 24 3900
k 160 198 16 600
k 161 198 217 4100
k 163 198 158 3000
k 166 198 49 1400
k 170 198 5 4400
k 171 198 44 3400
k 172 198 157 3700
k 131 199 86 2900
k 132 199 6 3200
k 134 199 95 2600
k 135 199 35 2500
k 136 199 8 4200
k 137 199 54 2800
k 138 199 48 2800
k 139 199 2 3300
k 147 199 1 2400
k 148 199 38 2500
k 150 199 2 800
k 153 199 10 2800
k 155 199 276 300
k 159 199 1 3500
k 161 199 8 3600
k 163 199 6 3200
k 166 199 9 1400
k 172 199 2 3700
k 134 200 7 1300
k 138 200 4 700
k 142 200 2 1300
k 146 200 6 1400
k 147 200 2 1500
k 148 200 4 1300
k 155 200 12 3900
k 158 200 27 1000
k 161 200 59 1400
k 163 200 5 900
k 166 200 16 2700
k 168 200 3 3000
k 130 201 5 3200
k 134 201 2 1100
k 137 201 12 800
k 138 201 136 300
k 142 201 1 900
k 146 201 1 1000
k 147 201 4 1100
k 153 201 33 1000
k 155 201 30 4900
k 157 201 45 900
k 159 201 5 1000
k 163 201 78 500
k 165 201 8 2100
k 166 201 49 3200
k 167 201 2 3200
k 168 201 6 2600
k 169 201 24 3500
k 171 201 7 800
k 172 201 21 1000
k 131 202 33 1300
k 132 202 7 900
k 134 202 29 800
k 135 202 17 1200
k 136 202 28 800
k 137 202 3 600
k 138 202 28 600
k 139 202 2 300
k 140 202 2 300
k 141 202 3 400
k 142 202 6 1100
k 146 202 12 1100
k 147 202 8 1100
k 148 202 39 1000
k 150 202 1 3700
k 152 202 1 300
k 153 202 165 300
k 155 202 24 4400
k 161 202 24 300
k 162 202 36 800
k 163 202 34 700
k 166 202 28 2600
k 167 202 2 2900
k 168 202 5 3400
k 169 202 5 4100
k 170 202 3 500
k 171 202 12 700
k 172 202 8 300
k 131 203 10 4100
k 132 203 1 3600
k 134 203 29 3100
k 135 203 9 4100
k 136 203 6 3500
k 137 203 31 3400
k 138 203 20 3700
k 139 203 1 4900
k 141 203 3 4500
k 148 203 9 2800
k 150 203 3 400
k 153 203 2 4700
k 155 203 20 600
k 161 203 11 4600
k 163 203 8 3700
k 166 203 71 1000
k 170 203 3 4300
k 172 203 3 4600
k 130 204 2 3600
k 131 204 3 1700
k 132 204 7 1100
k 134 204 31 1100
k 135 204 7 1300
k 136 204 5 1200
k 138 204 6 1000
k 139 204 13 500
k 141 204 12 600
k 145 204 28 1400
k 146 204 34 1300
k 147 204 89 1400
k 148 204 21 1200
k 149 204 3 3800
k 150 204 1 4400
k 151 204 1 500
k 152 204 5 600
k 153 204 169 300
k 155 204 53 4100
k 156 204 3 5000
k 157 204 3 1400
k 159 204 52 300
k 162 204 21 1000
k 163 204 90 900
k 166 204 35 3500
k 167 204 3 3700
k 168 204 14 3400
k 171 204 11 900
k 172 204 8 300
k 153 205 60 3600
k 170 205 9 1600
k 171 205 19 1000
k 172 205 39 1400
k 130 206 9 3200
k 138 206 27 400
k 139 206 5 800
k 140 206 1 1200
k 141 206 2 1300
k 146 206 16 600
k 147 206 5 700
k 148 206 10 1000
k 150 206 4 3700
k 153 206 77 1000
k 154 206 4 3700
k 155 206 188 3000
k 156 206 8 3500
k 157 206 1 500
k 158 206 102 600
k 159 206 32 1200
k 160 206 15 3900
k 161 206 49 1000
k 164 206 1 2200
k 165 206 2 1700
k 166 206 231 2500
k 168 206 7 2100
k 169 206 17 3500
k 170 206 9 1400
k 171 206 33 400
k 172 206 58 500
k 148 207 1 2700
k 131 208 4 3800
k 134 208 6 2900
k 137 208 12 2400
k 138 208 3 2700
k 147 208 1 2700
k 148 208 1 2800
k 163 208 1 2300
k 172 208 5 3900
k 131 209 12 2900
k 132 209 111 2800
k 133 209 67 2200
k 134 209 823 1700
k 135 209 267 1700
k 136 209 250 2100
k 137 209 1817 2000
k 138 209 673 1800
k 139 209 109 3200
k 140 209 14 7000
k 141 209 15 7000
k 142 209 45 2600
k 143 209 148 1700
k 144 209 11 1700
k 146 209 69 1800
k 147 209 247 1600
k 148 209 376 2000
k 150 209 54 1100
k 151 209 18 3800
k 152 209 77 3200
k 153 209 250 2800
k 154 209 2 1400
k 155 209 11 1000
k 156 209 2 1500
k 157 209 22 7000
k 158 209 37 2900
k 159 209 34 2800
k 160 209 39 1200
k 161 209 369 2800
k 163 209 161 2700
k 171 209 41 2800
k 172 209 296 2500
k 131 210 320 2100
k 134 210 267 1800
k 131 211 49 2700
k 132 211 7 2300
k 133 211 2 3400
k 134 211 198 2200
k 135 211 14 2500
k 136 211 43 2000
k 137 211 95 1900
k 138 211 53 2800
k 139 211 7 2700
k 141 211 2 3800
k 142 211 2 3100
k 143 211 29 1900
k 146 211 36 2000
k 147 211 47 1800
k 148 211 35 2200
k 152 211 2 3300
k 153 211 33 3400
k 154 211 2 2400
k 156 211 2 2600
k 158 211 6 2400
k 159 211 2 3100
k 161 211 21 3400
k 163 211 14 3000
k 171 211 3 2100
k 172 211 15 3100
k 131 212 63 2100
k 132 212 6 2600
k 133 212 4 1900
k 134 212 109 1600
k 135 212 10 2600
k 136 212 139 2800
k 137 212 267 2000
k 138 212 114 1900
k 139 212 15 3200
k 140 212 6 3500
k 141 212 2 3600
k 146 212 1 1800
k 147 212 4 2200
k 148 212 2 1300
k 151 212 1 2800
k 152 212 21 2500
k 153 212 44 2500
k 157 212 19 2600
k 158 212 5 2900
k 159 212 7 2700
k 161 212 74 3100
k 163 212 68 1700
k 171 212 26 2800
k 172 212 24 3000
k 148 213 2 1500
k 153 213 5 2000
k 159 213 6 500
k 161 213 3 1100
k 166 213 2 3200
k 130 214 8 2800
k 135 214 3 1100
k 142 214 6 1000
k 143 214 4 1200
k 146 214 9 800
k 147 214 28 1000
k 151 214 9 800
k 152 214 6 1000
k 153 214 74 1200
k 155 214 20 4500
k 158 214 12 900
k 159 214 36 700
k 161 214 41 1100
k 162 214 7 700
k 163 214 20 300
k 166 214 36 3300
k 168 214 2 2900
k 169 214 3 2900
k 131 215 12 1000
k 134 215 10 1200
k 136 215 3 900
k 138 215 5 1100
k 139 215 7 900
k 141 215 3 600
k 142 215 4 900
k 146 215 10 1300
k 147 215 25 1300
k 151 215 4 600
k 152 215 13 300
k 153 215 181 300
k 155 215 22 4900
k 158 215 7 1100
k 159 215 35 300
k 161 215 218 300
k 162 215 7 1100
k 163 215 90 1200
k 165 215 3 2700
k 166 215 35 3600
k 167 215 3 3400
k 168 215 3 2600
k 169 215 6 3800
c
c source target cost capacity resource_consumptions
a 2 3 0 2700 291
a 3 6 0 2700 293
a 6 0 0 2700 169
a 0 7 0 2700 241
a 7 8 0 2700 466
a 8 4 0 2700 261
a 4 5 0 2700 305
a 5 4 0 2700 305
a 4 1 0 2700 245
a 1 2 0 2700 623
a 47 53 0 2250 313
a 53 45 0 2250 396
a 45 48 0 2250 210
a 48 49 0 2250 262
a 49 46 0 2250 273
a 46 53 0 2250 235
a 53 52 0 2250 179
a 52 50 0 2250 343
a 50 51 0 2250 95
a 51 47 0 2250 194
a 60 59 0 2400 216
a 59 58 0 2400 9
a 58 56 0 2400 114
a 56 57 0 2400 168
a 57 58 0 2400 72
a 58 55 0 2400 227
a 55 54 0 2400 56
a 54 60 0 2400 438
a 66 65 0 12800 405
a 65 79 0 12800 47
a 79 80 0 12800 375
a 80 61 0 12800 41
a 61 77 0 12800 557
a 77 64 0 12800 942
a 64 75 0 12800 844
a 75 67 0 12800 365
a 67 68 0 12800 190
a 68 69 0 12800 81
a 69 81 0 12800 439
a 81 73 0 12800 303
a 73 76 0 12800 182
a 76 62 0 12800 194
a 62 63 0 12800 255
a 63 78 0 12800 1160
a 78 74 0 12800 1466
a 74 72 0 12800 506
a 72 71 0 12800 237
a 71 70 0 12800 221
a 70 66 0 12800 292
a 89 90 0 6000 70
a 90 91 0 6000 9
a 91 90 0 6000 9
a 90 85 0 6000 409
a 85 82 0 6000 127
a 82 83 0 6000 216
a 83 84 0 6000 194
a 84 88 0 6000 137
a 88 86 0 6000 63
a 86 87 0 6000 174
a 87 92 0 6000 373
a 92 89 0 6000 520
a 96 95 0 9600 1
a 95 100 0 9600 402
a 100 99 0 9600 68
a 99 101 0 9600 60
a 101 97 0 9600 786
a 97 98 0 9600 58
a 98 102 0 9600 1312
a 102 93 0 9600 1578
a 93 94 0 9600 112
a 94 96 0 9600 223
a 103 104 0 12000 287
a 104 105 0 12000 1335
a 105 103 0 12000 1578
a 109 107 0 21600 9
a 107 106 0 21600 460
a 106 110 0 21600 1673
a 110 108 0 21600 797
a 108 109 0 21600 2861
a 117 118 0 33600 447
a 118 115 0 33600 2590
a 115 119 0 33600 96
a 119 113 0 33600 169
a 113 112 0 33600 158
a 112 121 0 33600 1445
a 121 111 0 33600 35
a 111 120 0 33600 230
a 120 114 0 33600 1523
a 114 116 0 33600 140
a 116 117 0 33600 1866
a 122 123 0 24000 85
a 123 127 0 24000 419
a 127 125 0 24000 9
a 125 128 0 24000 489
a 128 124 0 24000 385
a 124 129 0 24000 1395
a 129 126 0 24000 840
a 126 122 0 24000 2578
a 10 13 0 7200 1682
a 13 9 0 7200 1575
a 9 12 0 7200 267
a 12 11 0 7200 95
a 11 10 0 7200 81
a 16 15 0 7200 341
a 15 14 0 7200 108
a 14 17 0 7200 801
a 17 16 0 7200 450
a 20 22 0 9600 118
a 22 18 0 9600 161
a 18 19 0 9600 270
a 19 24 0 9600 473
a 24 23 0 9600 10
a 23 21 0 9600 951
a 21 20 0 9600 117
a 30 25 0 4800 721
a 25 29 0 4800 148
a 29 27 0 4800 163
a 27 28 0 4800 34
a 28 26 0 4800 306
a 26 31 0 4800 265
a 31 30 0 4800 462
a 32 34 0 12000 1600
a 34 33 0 12000 2
a 33 32 0 12000 1598
a 36 35 0 800 250
a 35 36 0 800 250
a 37 43 0 3200 134
a 43 38 0 3200 132
a 38 42 0 3200 596
a 42 39 0 3200 377
a 39 40 0 3200 97
a 40 41 0 3200 12
a 41 44 0 3200 450
a 44 37 0 3200 202
a 61 111 115 44172 300
a 111 61 115 44172 300
a 14 25 74 44172 300
a 14 112 74 44172 300
a 25 14 74 44172 300
a 25 112 74 44172 300
a 112 14 74 44172 300
a 112 25 74 44172 300
a 83 93 60 44172 300
a 93 83 60 44172 300
a 0 18 62 44172 300
a 0 62 62 44172 300
a 0 94 62 44172 300
a 0 103 62 44172 300
a 0 113 62 44172 300
a 18 0 62 44172 300
a 18 62 62 44172 300
a 18 94 62 44172 300
a 18 103 62 44172 300
a 18 113 62 44172 300
a 62 0 62 44172 300
a 62 18 62 44172 300
a 62 94 62 44172 300
a 62 103 62 44172 300
a 62 113 62 44172 300
a 94 0 62 44172 300
a 94 18 62 44172 300
a 94 62 62 44172 300
a 94 103 62 44172 300
a 94 113 62 44172 300
a 103 0 62 44172 300
a 103 18 62 44172 300
a 103 62 62 44172 300
a 103 94 62 44172 300
a 103 113 62 44172 300
a 113 0 62 44172 300
a 113 18 62 44172 300
a 113 62 62 44172 300
a 113 94 62 44172 300
a 113 103 62 44172 300
a 9 15 25 44172 300
a 9 26 25 44172 300
a 9 84 25 44172 300
a 9 114 25 44172 300
a 15 9 25 44172 300
a 15 26 25 44172 300
a 15 84 25 44172 300
a 15 114 25 44172 300
a 26 9 25 44172 300
a 26 15 25 44172 300
a 26 84 25 44172 300
a 26 114 25 44172 300
a 84 9 25 44172 300
a 84 15 25 44172 300
a 84 26 25 44172 300
a 84 114 25 44172 300
a 114 9 25 44172 300
a 114 15 25 44172 300
a 114 26 25 44172 300
a 114 84 25 44172 300
a 10 106 57 44172 300
a 10 122 57 44172 300
a 106 10 57 44172 300
a 106 122 57 44172 300
a 122 10 57 44172 300
a 122 106 57 44172 300
a 11 16 78 44172 300
a 11 37 78 44172 300
a 11 95 78 44172 300
a 11 123 78 44172 300
a 16 11 78 44172 300
a 16 37 78 44172 300
a 16 95 78 44172 300
a 16 123 78 44172 300
a 37 11 78 44172 300
a 37 16 78 44172 300
a 37 95 78 44172 300
a 37 123 78 44172 300
a 95 11 78 44172 300
a 95 16 78 44172 300
a 95 37 78 44172 300
a 95 123 78 44172 300
a 123 11 78 44172 300
a 123 16 78 44172 300
a 123 37 78 44172 300
a 123 95 78 44172 300
a 19 38 93 44172 300
a 19 85 93 44172 300
a 19 96 93 44172 300
a 19 115 93 44172 300
a 38 19 93 44172 300
a 38 85 93 44172 300
a 38 96 93 44172 300
a 38 115 93 44172 300
a 85 19 93 44172 300
a 85 38 93 44172 300
a 85 96 93 44172 300
a 85 115 93 44172 300
a 96 19 93 44172 300
a 96 38 93 44172 300
a 96 85 93 44172 300
a 96 115 93 44172 300
a 115 19 93 44172 300
a 115 38 93 44172 300
a 115 85 93 44172 300
a 115 96 93 44172 300
a 1 45 62 44172 300
a 45 1 62 44172 300
a 20 63 63 44172 300
a 63 20 63 44172 300
a 21 28 68 44172 300
a 21 98 68 44172 300
a 21 104 68 44172 300
a 21 124 68 44172 300
a 28 21 68 44172 300
a 28 98 68 44172 300
a 28 104 68 44172 300
a 28 124 68 44172 300
a 98 21 68 44172 300
a 98 28 68 44172 300
a 98 104 68 44172 300
a 98 124 68 44172 300
a 104 21 68 44172 300
a 104 28 68 44172 300
a 104 98 68 44172 300
a 104 124 68 44172 300
a 124 21 68 44172 300
a 124 28 68 44172 300
a 124 98 68 44172 300
a 124 104 68 44172 300
