c resource constrained multi commodity flow
c WorldLarge
c 179 R45_THLCH
c 180 R46_BRPNG
c 181 R46_BRRIG
c 182 R46_BRSSZ
c 183 R47_AOLOB
c 184 R47_CGPNR
c 185 R47_NGAPP
c 186 R48_AEJEA
c 187 R48_CNSHA
c 188 R48_DJJIB
c 189 R48_LKCMB
c 190 R48_OMSLL
c 191 R48_YEADE
c 192 R49_HKHKG
c 193 R49_IDSRG
c 194 R49_IDSUB
c 195 R49_MYPEN
c 196 R49_MYTPP
c 197 R49_PHMNL
c 198 R49_SGSIN
c 199 R49_THLCH
c 200 R49_VNDAD
c 201 R49_VNHPH
c 202 R4_DEBRV
c 203 R4_EGPSD
c 204 R4_ESALG
c 205 R4_ESBCN
c 206 R4_ILASH
c 207 R4_NLRTM
c 208 R4_SAJED
c 209 R50_INNSA
c 210 R50_INPAV
c 211 R50_PKBQM
c 212 R50_SAJED
c 213 R51_PAMIT
c 214 R51_USCHS
c 215 R51_USHOU
c 216 R51_VEPBL
c 217 R52_ESALG
c 218 R52_MACAS
c 219 R53_AEJEA
c 220 R53_CNXMN
c 221 R53_CNYTN
c 222 R53_INNSA
c 223 R53_LKCMB
c 224 R53_PKBQM
c 225 R53_ZADUR
c 226 R53_ZAPLZ
c 227 R54_EGALY
c 228 R54_EGPSD
c 229 R54_ITGIT
c 230 R54_TNTUN
c 231 R54_TRAMB
c 232 R55_BDCGP
c 233 R55_SGSIN
c 234 R56_ILASH
c 235 R56_TRAMB
c 236 R57_EGPSD
c 237 R57_TRAMB
c 238 R58_GBABD
c 239 R58_NLRTM
c 240 R59_CRMOB
c 241 R59_USHOU
c 242 R59_USILM
c 243 R59_USMIA
c 244 R5_CNYTN
c 245 R5_GBFXT
c 246 R5_HKHKG
c 247 R5_MYPKG
c 248 R5_MYTPP
c 249 R5_SGSIN
c 250 R60_BJCOO
c 251 R60_CIABJ
c 252 R60_CMDLA
c 253 R60_GHTKD
c 254 R60_NGAPP
c 255 R61_MYPKG
c 256 R61_MYTPP
c 257 R61_SGSIN
c 258 R61_VNDAD
c 259 R61_VNSGN
c 260 R62_IDJKT
c 261 R62_IDSUB
c 262 R62_MYPKG
c 263 R62_SGSIN
c 264 R63_KEMBA
c 265 R63_YEADE
c 266 R64_AEJEA
c 267 R64_KWSWK
c 268 R65_COBAQ
c 269 R65_COBUN
c 270 R65_ECGYE
c 271 R65_HNPCR
c 272 R65_MXLZC
c 273 R65_PABLB
c 274 R65_PRSJU
c 275 R66_ARBUE
c 276 R66_BRITJ
c 277 R66_BRRIG
c 278 R66_UYMVD
c 279 R67_TZDAR
c 280 R67_ZADUR
c 281 R68_BGVAR
c 282 R68_DZALG
c 283 R68_DZBJA
c 284 R68_DZSKI
c 285 R68_ESVLC
c 286 R68_GRPIR
c 287 R68_SIKOP
c 288 R68_TRIZM
c 289 R69_ESALG
c 290 R69_NLRTM
c 291 R69_PTLEI
c 292 R69_RUKGD
c 293 R6_CNLYG
c 294 R6_CNSHA
c 295 R6_GBFXT
c 296 R6_NLRTM
c 297 R70_CLARI
c 298 R70_CLSAI
c 299 R70_COBUN
c 300 R70_PABLB
c 301 R70_PECLL
c 302 R71_AOLAD
c 303 R71_NGAPP
c 304 R7_AEJEA
c 305 R7_CNSHA
c 306 R7_CNYTN
c 307 R7_DEBRV
c 308 R7_EGPSD
c 309 R7_HKHKG
c 310 R7_ITGIT
c 311 R7_MYTPP
c 312 R7_SAJED
c 313 R8_CNSHA
c 314 R8_JPNGO
c 315 R8_JPYOK
c 316 R8_KRPUS
c 317 R8_USLAX
c 318 R8_USSEA
c 319 R9_PABLB
c 320 R9_USLAX
c 321 R9_USMIA
c 322 O_AEJEA
c 323 O_AOLAD
c 324 O_AOLOB
c 325 O_ARBUE
c 326 O_AUBNE
c 327 O_AUFRE
c 328 O_AUMEL
c 329 O_AUSYD
c 330 O_BDCGP
c 331 O_BEANR
c 332 O_BEZEE
c 333 O_BGVAR
c 334 O_BJCOO
c 335 O_BRITJ
c 336 O_BRPNG
c 337 O_BRRIG
c 338 O_BRSSZ
c 339 O_CAMTR
c 340 O_CAVAN
c 341 O_CGPNR
c 342 O_CIABJ
c 343 O_CLARI
c 344 O_CLSAI
c 345 O_CMDLA
c 346 O_CNDLC
c 347 O_CNFOC
c 348 O_CNLYG
c 349 O_CNSHA
c 350 O_CNTAO
c 351 O_CNXMN
c 352 O_CNYTN
c 353 O_COBAQ
c 354 O_COBUN
c 355 O_CRMOB
c 356 O_DEBRV
c 357 O_DEHAM
c 358 O_DJJIB
c 359 O_DKAAR
c 360 O_DZALG
c 361 O_DZBJA
c 362 O_ECGYE
c 363 O_EGALY
c 364 O_EGPSD
c 365 O_ESALG
c 366 O_ESBCN
c 367 O_ESVGO
c 368 O_ESVLC
c 369 O_FRDKK
c 370 O_FRFOS
c 371 O_FRLEH
c 372 O_GBABD
c 373 O_GBFXT
c 374 O_GBSOU
c 375 O_GHTKD
c 376 O_GRPIR
c 377 O_HKHKG
c 378 O_HNPCR
c 379 O_IDJKT
c 380 O_IDSRG
c 381 O_IDSUB
c 382 O_ILASH
c 383 O_ILHFA
c 384 O_INMAA
c 385 O_INNSA
c 386 O_INPAV
c 387 O_IRBND
c 388 O_ITGIT
c 389 O_ITGOA
c 390 O_ITTRS
c 391 O_JOAQB
c 392 O_JPHKT
c 393 O_JPNGO
c 394 O_JPOSA
c 395 O_JPSMZ
c 396 O_JPTYO
c 397 O_JPUKB
c 398 O_JPYOK
c 399 O_KEMBA
c 400 O_KRPUS
c 401 O_KWSWK
c 402 O_LBBEY
c 403 O_LKCMB
c 404 O_MACAS
c 405 O_MAPTM
c 406 O_MUPLU
c 407 O_MXLZC
c 408 O_MYPEN
c 409 O_MYPKG
c 410 O_MYTPP
c 411 O_NGAPP
c 412 O_NLRTM
c 413 O_NOSVG
c 414 O_NZAKL
c 415 O_NZNPL
c 416 O_NZPOE
c 417 O_NZWLG
c 418 O_OMSLL
c 419 O_PABLB
c 420 O_PAMIT
c 421 O_PECLL
c 422 O_PHMNL
c 423 O_PKBQM
c 424 O_PLGDY
c 425 O_PRSJU
c 426 O_PTLEI
c 427 O_RUKGD
c 428 O_RULED
c 429 O_SADMM
c 430 O_SAJBI
c 431 O_SAJED
c 432 O_SEGOT
c 433 O_SGSIN
c 434 O_SIKOP
c 435 O_SNDKR
c 436 O_THLCH
c 437 O_TNTUN
c 438 O_TRAMB
c 439 O_TRIZM
c 440 O_TRMER
c 441 O_TWKEL
c 442 O_TWKHH
c 443 O_TZDAR
c 444 O_UAODS
c 445 O_USCHS
c 446 O_USEWR
c 447 O_USHOU
c 448 O_USILM
c 449 O_USLAX
c 450 O_USLGB
c 451 O_USMIA
c 452 O_USOAK
c 453 O_USSAV
c 454 O_USSEA
c 455 O_UYMVD
c 456 O_VEPBL
c 457 O_VNDAD
c 458 O_VNHPH
c 459 O_VNSGN
c 460 O_YEADE
c 461 O_ZACPT
c 462 O_ZADUR
c 463 O_ZAPLZ
c 464 D_AEJEA
c 465 D_AOLAD
c 466 D_AOLOB
c 467 D_ARBUE
c 468 D_AUBNE
c 469 D_AUFRE
c 470 D_AUMEL
c 471 D_AUSYD
c 472 D_BDCGP
c 473 D_BEANR
c 474 D_BEZEE
c 475 D_BGVAR
c 476 D_BJCOO
c 477 D_BRITJ
c 478 D_BRPNG
c 479 D_BRRIG
c 480 D_BRSSZ
c 481 D_CAMTR
c 482 D_CAVAN
c 483 D_CGPNR
c 484 D_CIABJ
c 485 D_CLARI
c 486 D_CLSAI
c 487 D_CMDLA
c 488 D_CNDLC
c 489 D_CNFOC
c 490 D_CNLYG
c 491 D_CNSHA
c 492 D_CNTAO
c 493 D_CNXMN
c 494 D_CNYTN
c 495 D_COBAQ
c 496 D_COBUN
c 497 D_CRMOB
c 498 D_DEBRV
c 499 D_DEHAM
c 500 D_DJJIB
c 501 D_DKAAR
c 502 D_DZALG
c 503 D_DZBJA
c 504 D_DZSKI
c 505 D_ECGYE
c 506 D_EGALY
c 507 D_EGPSD
c 508 D_ESALG
c 509 D_ESBCN
c 510 D_ESVGO
c 511 D_ESVLC
c 512 D_FRDKK
c 513 D_FRFOS
c 514 D_FRLEH
c 515 D_GBABD
c 516 D_GBFXT
c 517 D_GBSOU
c 518 D_GHTKD
c 519 D_GRPIR
c 520 D_HKHKG
c 521 D_HNPCR
c 522 D_IDJKT
c 523 D_IDSRG
c 524 D_IDSUB
c 525 D_ILASH
c 526 D_ILHFA
c 527 D_INMAA
c 528 D_INNSA
c 529 D_INPAV
c 530 D_IRBND
c 531 D_ITGIT
c 532 D_ITGOA
c 533 D_ITTRS
c 534 D_JOAQB
c 535 D_JPHKT
c 536 D_JPNGO
c 537 D_JPOSA
c 538 D_JPSMZ
c 539 D_JPTYO
c 540 D_JPUKB
c 541 D_JPYOK
c 542 D_KEMBA
c 543 D_KRPUS
c 544 D_KWSWK
c 545 D_LBBEY
c 546 D_LKCMB
c 547 D_MACAS
c 548 D_MAPTM
c 549 D_MUPLU
c 550 D_MXLZC
c 551 D_MYPEN
c 552 D_MYPKG
c 553 D_MYTPP
c 554 D_NGAPP
c 555 D_NLRTM
c 556 D_NOSVG
c 557 D_NZAKL
c 558 D_NZNPL
c 559 D_NZPOE
c 560 D_NZWLG
c 561 D_OMSLL
c 562 D_PABLB
c 563 D_PAMIT
c 564 D_PECLL
c 565 D_PHMNL
c 566 D_PKBQM
c 567 D_PLGDY
c 568 D_PRSJU
c 569 D_PTLEI
c 570 D_RUKGD
c 571 D_RULED
c 572 D_SADMM
c 573 D_SAJED
c 574 D_SEGOT
c 575 D_SGSIN
c 576 D_SIKOP
c 577 D_SNDKR
c 578 D_THLCH
c 579 D_TNTUN
c 580 D_TRAMB
c 581 D_TRIZM
c 582 D_TRMER
c 583 D_TWKEL
c 584 D_TWKHH
c 585 D_TZDAR
c 586 D_UAODS
c 587 D_USCHS
c 588 D_USEWR
c 589 D_USHOU
c 590 D_USILM
c 591 D_USLAX
c 592 D_USLGB
c 593 D_USMIA
c 594 D_USOAK
c 595 D_USSAV
c 596 D_USSEA
c 597 D_UYMVD
c 598 D_VEPBL
c 599 D_VNDAD
c 600 D_VNHPH
c 601 D_VNSGN
c 602 D_YEADE
c 603 D_ZACPT
c 604 D_ZADUR
c 605 D_ZAPLZ
c
c problem vertices edges commodities resources
p rcmcf 606 2437 7643 1
c
c origin destination demand resource_limits
k 322 465 141 3900
k 322 466 68 3500
k 322 467 4 4400
k 322 468 8 2400
k 322 469 4 3600
k 322 470 67 4400
k 322 471 12 4000
k 322 472 19 2200
k 322 473 2 3000
k 322 474 20 2800
k 322 475 12 2900
k 322 476 62 3800
k 322 480 3 4200
k 322 483 7 4000
k 322 484 25 3500
k 322 486 1 4900
k 322 487 48 4200
k 322 488 9 3800
k 322 490 2 3000
k 322 491 6 2400
k 322 492 3 2700
k 322 493 14 2800
k 322 494 11 2400
k 322 496 2 5700
k 322 498 25 2300
k 322 499 3 3100
k 322 500 13 600
k 322 502 23 2800
k 322 503 5 3000
k 322 504 9 3200
k 322 506 12 2000
k 322 507 19 1000
k 322 508 14 1800
k 322 509 6 2800
k 322 510 9 4000
k 322 511 5 2000
k 322 513 1 2600
k 322 514 2 3500
k 322 515 10 3500
k 322 516 39 2400
k 322 517 2 4500
k 322 518 59 3600
k 322 519 6 2200
k 322 520 95 1900
k 322 522 5 1800
k 322 524 3 2900
k 322 526 1 2100
k 322 527 42 1900
k 322 528 94 1000
k 322 530 29 600
k 322 531 43 1400
k 322 532 27 2300
k 322 533 2 2500
k 322 534 41 1700
k 322 540 2 3500
k 322 541 2 3400
k 322 542 110 1700
k 322 543 5 2300
k 322 544 62 900
k 322 545 32 1800
k 322 546 119 1000
k 322 547 95 2700
k 322 548 10 1800
k 322 549 50 2400
k 322 551 1 1800
k 322 552 1 1800
k 322 553 2 2600
k 322 554 93 3200
k 322 555 62 2600
k 322 557 39 3000
k 322 559 2 3000
k 322 561 24 400
k 322 566 32 400
k 322 567 2 3400
k 322 569 8 3000
k 322 570 1 3400
k 322 571 10 3200
k 322 572 35 600
k 322 573 82 800
k 322 574 3 3200
k 322 575 10 1800
k 322 576 5 2400
k 322 577 92 2700
k 322 578 9 2000
k 322 579 14 2200
k 322 580 29 1400
k 322 581 22 2400
k 322 582 8 2000
k 322 584 3 2600
k 322 585 98 1800
k 322 586 54 2600
k 322 587 30 3500
k 322 588 52 3200
k 322 589 26 4300
k 322 590 24 4600
k 322 591 10 4400
k 322 594 4 5100
k 322 595 19 3900
k 322 597 4 4000
k 322 600 7 2200
k 322 601 1 1800
k 322 602 42 1900
k 322 603 14 3300
k 322 604 111 2500
k 322 605 4 2200
k 323 552 2 3200
k 324 464 2 4700
k 324 465 7 1200
k 324 482 1 4800
k 324 486 1 5300
k 324 489 1 3700
k 324 491 7 3700
k 324 493 1 3900
k 324 494 5 3600
k 324 498 10 3300
k 324 508 9 1900
k 324 510 11 2300
k 324 520 9 3000
k 324 522 1 3500
k 324 531 3 2900
k 324 535 1 5500
k 324 540 1 5700
k 324 541 4 4500
k 324 551 2 3300
k 324 553 1 2400
k 324 555 2 2900
k 324 569 4 2400
k 324 575 2 2400
k 324 584 1 4100
k 324 588 1 2700
k 324 599 1 2800
k 324 600 1 4100
k 324 601 1 2500
k 325 464 6 4800
k 325 465 65 4300
k 325 466 24 3900
k 325 468 1 6900
k 325 470 18 6500
k 325 471 2 6300
k 325 473 10 2700
k 325 475 3 5200
k 325 483 6 5000
k 325 484 4 4400
k 325 489 3 4800
k 325 491 20 5400
k 325 492 1 4600
k 325 493 1 4700
k 325 495 24 2700
k 325 498 19 2900
k 325 499 5 3700
k 325 501 1 3200
k 325 502 1 3500
k 325 506 13 3800
k 325 507 1 4900
k 325 508 30 2700
k 325 509 2 4600
k 325 510 1 3700
k 325 514 2 2600
k 325 516 3 2900
k 325 518 12 4600
k 325 520 24 4700
k 325 525 22 4200
k 325 526 17 5100
k 325 531 7 2800
k 325 532 4 3800
k 325 534 9 4500
k 325 540 2 6600
k 325 541 2 6100
k 325 542 2 5900
k 325 543 10 5200
k 325 544 2 6100
k 325 549 1 5700
k 325 552 3 3500
k 325 554 11 4600
k 325 555 97 2500
k 325 563 3 2900
k 325 567 6 3300
k 325 569 4 3600
k 325 571 57 4000
k 325 572 8 5800
k 325 573 6 4700
k 325 575 13 4100
k 325 576 1 4500
k 325 577 3 3700
k 325 579 1 3800
k 325 580 1 4500
k 325 584 9 5600
k 325 586 1 4500
k 325 598 15 3600
k 325 600 9 4900
k 325 601 1 5200
k 325 603 7 3700
k 325 604 22 2900
k 325 605 3 2600
k 326 464 7 3700
k 326 472 2 3600
k 326 488 1 2600
k 326 491 7 2300
k 326 492 2 2100
k 326 498 3 5400
k 326 506 1 4800
k 326 508 2 4400
k 326 516 7 5500
k 326 520 25 1900
k 326 522 3 3600
k 326 523 3 3800
k 326 524 2 3700
k 326 525 1 5100
k 326 526 1 5800
k 326 527 1 4100
k 326 532 2 4500
k 326 536 5 2500
k 326 537 20 1500
k 326 541 36 1300
k 326 543 38 1800
k 326 555 3 5100
k 326 557 82 500
k 326 558 2 1300
k 326 559 4 1300
k 326 560 16 2000
k 326 566 3 4000
k 326 568 3 5600
k 326 571 5 6300
k 326 573 2 4900
k 326 578 4 3200
k 326 584 11 1600
k 326 586 1 5100
k 326 589 9 5500
k 326 592 5 3100
k 326 595 2 4800
k 326 596 3 3200
k 326 600 3 2900
k 326 601 4 2800
k 327 464 26 2600
k 327 488 12 2400
k 327 491 11 2100
k 327 494 2 2700
k 327 499 1 4600
k 327 506 1 4100
k 327 511 3 3900
k 327 516 6 3900
k 327 518 4 5300
k 327 520 16 2100
k 327 522 14 1300
k 327 523 10 1400
k 327 524 11 1300
k 327 527 4 2100
k 327 528 6 2900
k 327 531 2 3200
k 327 532 1 5100
k 327 535 40 2200
k 327 536 3 2600
k 327 540 6 3300
k 327 541 42 2800
k 327 542 2 3500
k 327 543 25 2000
k 327 544 5 3900
k 327 546 1 1700
k 327 549 1 2200
k 327 551 8 1700
k 327 552 12 1300
k 327 553 6 1100
k 327 555 3 4300
k 327 557 6 1900
k 327 560 2 3200
k 327 561 1 5000
k 327 566 1 3300
k 327 569 1 4800
k 327 572 8 3600
k 327 573 4 3200
k 327 575 6 800
k 327 577 2 4800
k 327 578 3 1900
k 327 581 1 3400
k 327 584 9 2200
k 327 585 1 5000
k 327 601 35 1900
k 327 602 3 3800
k 327 604 6 2700
k 328 464 26 3100
k 328 472 4 3200
k 328 474 7 5500
k 328 480 4 5700
k 328 482 1 3600
k 328 486 2 3700
k 328 488 42 3300
k 328 491 28 2700
k 328 494 2 2800
k 328 498 7 5100
k 328 499 4 5400
k 328 501 5 6600
k 328 506 6 4900
k 328 507 1 4000
k 328 508 2 3800
k 328 509 1 5000
k 328 516 24 4700
k 328 518 5 6200
k 328 519 2 4500
k 328 520 73 3100
k 328 521 3 3400
k 328 522 8 2800
k 328 524 4 2800
k 328 526 3 5500
k 328 528 4 3700
k 328 530 2 4900
k 328 531 3 3700
k 328 532 5 3900
k 328 534 8 4500
k 328 535 8 3600
k 328 536 42 3500
k 328 537 28 2400
k 328 541 45 2200
k 328 543 18 2700
k 328 544 4 3400
k 328 546 1 3200
k 328 549 6 2800
k 328 550 1 4000
k 328 552 10 2900
k 328 553 5 1900
k 328 554 2 6400
k 328 555 13 5100
k 328 557 102 800
k 328 559 12 700
k 328 560 21 1000
k 328 561 3 5000
k 328 563 2 2800
k 328 566 15 4100
k 328 568 1 4600
k 328 570 1 5000
k 328 571 2 5900
k 328 572 10 4500
k 328 573 7 4000
k 328 574 3 6000
k 328 575 20 1800
k 328 578 41 2900
k 328 580 1 5300
k 328 582 2 4000
k 328 584 25 2300
k 328 586 1 5900
k 328 588 9 4800
k 328 589 1 7000
k 328 592 24 3500
k 328 594 14 3300
k 328 595 2 4400
k 328 596 10 3500
k 328 597 2 6400
k 328 600 6 3100
k 328 601 10 3100
k 328 604 5 3800
k 328 605 2 4900
k 329 464 12 3500
k 329 474 3 5900
k 329 482 1 3400
k 329 486 2 5100
k 329 488 7 3000
k 329 491 2 2800
k 329 492 10 2500
k 329 498 5 5500
k 329 499 3 5800
k 329 505 2 4200
k 329 506 2 5300
k 329 516 15 5100
k 329 517 2 4200
k 329 518 2 6600
k 329 520 31 2300
k 329 522 12 3200
k 329 524 4 2000
k 329 526 4 6100
k 329 527 1 3600
k 329 528 6 3900
k 329 531 1 3900
k 329 532 1 4100
k 329 534 2 4900
k 329 536 4 3000
k 329 537 3 2000
k 329 541 17 1700
k 329 543 19 2200
k 329 544 3 3600
k 329 546 2 2500
k 329 552 2 3300
k 329 555 3 5400
k 329 557 78 500
k 329 558 3 2300
k 329 559 7 1000
k 329 560 9 1300
k 329 563 1 2900
k 329 565 2 2900
k 329 566 3 4400
k 329 571 2 5400
k 329 572 9 4900
k 329 573 1 4400
k 329 574 3 6400
k 329 575 1 2200
k 329 576 1 5000
k 329 578 3 3300
k 329 580 1 5100
k 329 582 1 5100
k 329 584 4 1900
k 329 592 7 3100
k 329 595 2 4500
k 329 600 3 3000
k 329 601 20 3200
k 329 603 1 4800
k 329 604 4 4200
k 330 464 4 2600
k 330 473 1 4000
k 330 474 43 3800
k 330 498 46 4000
k 330 499 25 4200
k 330 500 2 1700
k 330 501 10 4700
k 330 502 1 4400
k 330 503 1 4500
k 330 507 1 2800
k 330 508 6 3500
k 330 509 8 3600
k 330 510 1 4600
k 330 511 17 3400
k 330 512 10 3700
k 330 513 7 4100
k 330 514 15 3600
k 330 515 2 3700
k 330 516 128 3700
k 330 517 61 4600
k 330 519 2 3100
k 330 520 7 1100
k 330 522 2 1000
k 330 531 17 2300
k 330 532 13 3500
k 330 533 9 4600
k 330 534 2 1700
k 330 536 4 1800
k 330 539 6 1900
k 330 542 1 2400
k 330 550 1 3700
k 330 552 3 1200
k 330 553 3 1000
k 330 554 1 4800
k 330 555 42 3800
k 330 564 1 5200
k 330 567 8 3300
k 330 569 3 4600
k 330 571 3 4800
k 330 573 4 1900
k 330 574 15 4900
k 330 580 8 3500
k 330 582 24 3700
k 330 586 2 4300
k 330 587 40 5000
k 330 588 32 4400
k 330 589 3 6100
k 330 590 8 4600
k 330 591 34 4100
k 330 595 53 5000
k 330 602 2 4200
k 330 604 2 2700
k 331 464 32 2700
k 331 465 12 3000
k 331 466 15 2800
k 331 467 15 3300
k 331 470 1 5300
k 331 472 5 3700
k 331 476 12 2900
k 331 478 4 2700
k 331 480 69 2800
k 331 481 7 1400
k 331 483 13 3600
k 331 484 18 2200
k 331 487 38 3100
k 331 495 1 2400
k 331 500 5 2600
k 331 502 1 1800
k 331 503 3 1900
k 331 507 2 2500
k 331 508 6 900
k 331 518 22 2300
k 331 519 35 1100
k 331 520 4 4200
k 331 527 14 3300
k 331 528 29 3500
k 331 529 11 3300
k 331 531 7 900
k 331 534 27 1800
k 331 542 8 4100
k 331 543 2 3800
k 331 544 4 3600
k 331 546 3 3100
k 331 549 9 4300
k 331 554 40 2300
k 331 561 43 3800
k 331 563 3 2000
k 331 564 1 3100
k 331 566 15 3200
k 331 571 1 1100
k 331 573 7 2000
k 331 575 3 2800
k 331 577 22 1800
k 331 580 160 1400
k 331 581 26 2200
k 331 585 3 4500
k 331 586 1 3000
k 331 587 1 1900
k 331 588 3 1400
k 331 589 2 2300
k 331 593 1 2000
k 331 595 2 1500
k 331 597 4 2300
k 331 603 8 2700
k 331 604 77 3700
k 331 605 17 3100
k 332 464 79 2800
k 332 467 3 3200
k 332 470 5 5200
k 332 472 7 4200
k 332 475 1 2100
k 332 476 4 2500
k 332 478 1 3000
k 332 479 3 2500
k 332 480 8 2600
k 332 486 2 3200
k 332 488 4 3300
k 332 491 7 3800
k 332 493 9 3400
k 332 494 1 3900
k 332 498 1 400
k 332 502 2 1800
k 332 503 2 2100
k 332 506 2 1700
k 332 511 4 1600
k 332 520 9 3800
k 332 526 2 7000
k 332 527 24 3200
k 332 528 44 3400
k 332 529 10 3700
k 332 530 5 3700
k 332 531 3 1300
k 332 534 2 1700
k 332 542 45 4000
k 332 543 3 3000
k 332 544 3 3100
k 332 545 2 1900
k 332 546 5 2900
k 332 547 3 1200
k 332 549 18 3500
k 332 553 13 2400
k 332 557 6 4700
k 332 558 2 5700
k 332 561 5 2300
k 332 565 2 4200
k 332 566 4 3000
k 332 572 4 3900
k 332 573 32 1900
k 332 575 5 3700
k 332 578 13 3900
k 332 580 3 1800
k 332 581 5 2500
k 332 585 44 4300
k 332 597 2 2300
k 332 601 8 3500
k 332 604 4 2900
k 333 464 17 2800
k 333 466 1 6400
k 333 470 2 6100
k 333 472 1 3200
k 333 473 7 2600
k 333 476 9 3400
k 333 478 1 4300
k 333 491 7 4600
k 333 493 1 3800
k 333 498 5 2800
k 333 500 1 2300
k 333 509 2 1800
k 333 511 2 1400
k 333 516 9 2900
k 333 518 7 3700
k 333 520 5 4300
k 333 525 2 2700
k 333 526 5 1200
k 333 527 18 2700
k 333 528 13 3900
k 333 531 3 1000
k 333 536 1 6100
k 333 540 6 4700
k 333 541 3 5400
