c Shift Minimisation Personnel Task Scheduling Problem (SMPTSP)
c data_2_24_40_33
c
c problem jobs shifts
p smptsp 40 24
c
c job start finish 
c 0 14 619
c 1 29 590
c 2 96 571
c 3 737 1297
c 4 796 1273
c 5 1 606
c 6 230 725
c 7 38 576
c 8 197 735
c 9 139 723
c 10 57 565
c 11 183 749
c 12 740 1261
c 13 748 1361
c 14 856 1343
c 15 315 788
c 16 99 676
c 17 605 1202
c 18 4 582
c 19 699 1222
c 20 102 664
c 21 812 1310
c 22 159 737
c 23 96 613
c 24 754 1259
c 25 7 619
c 26 669 1168
c 27 55 609
c 28 757 1282
c 29 157 702
c 30 899 1363
c 31 850 1355
c 32 650 1252
c 33 33 548
c 34 824 1382
c 35 693 1313
c 36 625 1223
c 37 728 1349
c 38 791 1357
c 39 739 1225
c
c shift cost source target num_qualifications qualifications
k 0 1 80 81 10 5 12 7 13 21 22 31 32 33 39
k 1 1 80 81 16 0 19 2 4 5 6 15 16 17 18 21 23 27 29 30 33
k 2 1 80 81 16 25 28 1 3 8 9 12 20 23 26 29 30 31 33 36 39
k 3 1 80 81 11 8 13 10 20 23 31 32 34 35 36 37
k 4 1 80 81 12 7 35 2 4 5 8 10 15 19 23 25 29
k 5 1 80 81 19 29 37 0 2 3 8 11 13 16 19 20 21 22 23 24 31 35 36 39
k 6 1 80 81 10 27 30 1 6 8 21 24 32 34 38
k 7 1 80 81 14 15 34 2 3 11 12 16 17 18 22 27 35 38 39
k 8 1 80 81 10 2 3 4 6 7 9 18 23 30 32
k 9 1 80 81 14 1 4 0 3 5 9 10 11 19 23 26 29 35 38
k 10 1 80 81 19 20 39 4 8 12 14 15 16 17 18 21 23 24 25 26 27 32 34 37
k 11 1 80 81 12 11 14 0 3 6 9 24 26 31 34 37 38
k 12 1 80 81 14 6 38 0 1 8 9 11 21 22 25 27 28 32 33
k 13 1 80 81 11 16 21 4 6 8 10 25 27 35 36 37
k 14 1 80 81 10 18 26 2 10 13 24 28 30 37 38
k 15 1 80 81 15 22 24 2 6 7 12 20 25 26 27 28 31 32 33 35
k 16 1 80 81 15 9 31 6 10 21 23 24 25 26 30 32 33 35 38 39
k 17 1 80 81 14 10 17 2 3 4 5 6 13 20 23 24 28 35 37
k 18 1 80 81 13 33 36 12 13 14 15 18 22 27 28 31 35 37
k 19 1 80 81 9 23 32 2 4 5 18 22 27 33
k 20 1 80 81 14 37 20 19 14 5 22 2 3 29 36 15 17 4 33
k 21 1 80 81 9 19 4 34 30 36 12 2 38 23
k 22 1 80 81 16 1 31 9 10 20 30 22 35 27 36 21 39 38 17 6 15
k 23 1 80 81 11 21 31 34 18 25 17 6 16 29 1 14
c
c graph source target is_shift
a 3 23 63 1
a 3 63 36 0
a 3 36 32 0
a 3 32 60 0
a 3 20 60 1
a 3 60 35 0
a 3 35 37 0
a 3 37 48 0
a 3 8 48 1
a 3 48 13 0
a 3 13 34 0
a 3 34 31 0
a 3 31 76 0
a 3 36 76 1
a 3 76 72 0
a 3 32 72 1
a 3 72 75 0
a 3 35 75 1
a 3 75 77 0
a 3 37 77 1
a 3 77 71 0
a 3 31 71 1
a 3 71 53 0
a 3 13 53 1
a 3 53 74 0
a 3 34 74 1
a 3 74 81 0
a 4 80 5 0
a 4 5 25 0
a 4 25 7 0
a 4 7 10 0
a 4 10 2 0
a 4 2 23 0
a 4 23 29 0
a 4 29 8 0
a 4 8 15 0
a 4 15 50 0
a 4 10 50 1
a 4 50 42 0
a 4 2 42 1
a 4 42 47 0
a 4 7 47 1
a 4 47 45 0
a 4 5 45 1
a 4 45 63 0
a 4 23 63 1
a 4 63 65 0
a 4 25 65 1
a 4 65 35 0
a 4 35 19 0
a 4 19 69 0
a 4 29 69 1
a 4 69 48 0
a 4 8 48 1
a 4 48 55 0
a 4 15 55 1
a 4 55 4 0
a 4 4 59 0
a 4 19 59 1
a 4 59 44 0
a 4 4 44 1
a 4 44 75 0
a 4 35 75 1
a 4 75 81 0
a 5 80 0 0
a 5 0 2 0
a 5 2 23 0
a 5 23 16 0
a 5 16 20 0
a 5 20 29 0
a 5 29 22 0
a 5 22 11 0
a 5 11 8 0
a 5 8 42 0
a 5 2 42 1
a 5 42 63 0
a 5 23 63 1
a 5 63 40 0
a 5 0 40 1
a 5 40 36 0
a 5 36 60 0
a 5 20 60 1
a 5 60 56 0
a 5 16 56 1
a 5 56 35 0
a 5 35 19 0
a 5 19 69 0
a 5 29 69 1
a 5 69 37 0
a 5 37 48 0
a 5 8 48 1
a 5 48 62 0
a 5 22 62 1
a 5 62 3 0
a 5 3 39 0
a 5 39 13 0
a 5 13 51 0
a 5 11 51 1
a 5 51 24 0
a 5 24 21 0
a 5 21 31 0
a 5 31 59 0
a 5 19 59 1
a 5 59 76 0
a 5 36 76 1
a 5 76 79 0
a 5 39 79 1
a 5 79 64 0
a 5 24 64 1
a 5 64 43 0
a 5 3 43 1
a 5 43 61 0
a 5 21 61 1
a 5 61 75 0
a 5 35 75 1
a 5 75 77 0
a 5 37 77 1
a 5 77 71 0
a 5 31 71 1
a 5 71 53 0
a 5 13 53 1
a 5 53 81 0
a 6 80 1 0
a 6 1 27 0
a 6 27 8 0
a 6 8 6 0
a 6 6 41 0
a 6 1 41 1
a 6 41 67 0
a 6 27 67 1
a 6 67 32 0
a 6 32 46 0
a 6 6 46 1
a 6 46 48 0
a 6 8 48 1
a 6 48 24 0
a 6 24 38 0
a 6 38 21 0
a 6 21 34 0
a 6 34 30 0
a 6 30 72 0
a 6 32 72 1
a 6 72 64 0
a 6 24 64 1
a 6 64 61 0
a 6 21 61 1
a 6 61 78 0
a 6 38 78 1
a 6 78 70 0
a 6 30 70 1
a 6 70 74 0
a 6 34 74 1
a 6 74 81 0
a 7 80 18 0
a 7 18 27 0
a 7 27 2 0
a 7 2 16 0
a 7 16 22 0
a 7 22 11 0
a 7 11 15 0
a 7 15 42 0
a 7 2 42 1
a 7 42 58 0
a 7 18 58 1
a 7 58 17 0
a 7 17 67 0
a 7 27 67 1
a 7 67 56 0
a 7 16 56 1
a 7 56 35 0
a 7 35 62 0
a 7 22 62 1
a 7 62 3 0
a 7 3 39 0
a 7 39 12 0
a 7 12 51 0
a 7 11 51 1
a 7 51 55 0
a 7 15 55 1
a 7 55 38 0
a 7 38 34 0
a 7 34 57 0
a 7 17 57 1
a 7 57 79 0
a 7 39 79 1
a 7 79 52 0
a 7 12 52 1
a 7 52 43 0
a 7 3 43 1
a 7 43 75 0
a 7 35 75 1
a 7 75 78 0
a 7 38 78 1
a 7 78 74 0
a 7 34 74 1
a 7 74 81 0
a 8 80 18 0
a 8 18 7 0
a 8 7 2 0
a 8 2 23 0
a 8 23 9 0
a 8 9 6 0
a 8 6 42 0
a 8 2 42 1
a 8 42 47 0
a 8 7 47 1
a 8 47 58 0
a 8 18 58 1
a 8 58 63 0
a 8 23 63 1
a 8 63 32 0
a 8 32 49 0
a 8 9 49 1
a 8 49 46 0
a 8 6 46 1
a 8 46 3 0
a 8 3 4 0
a 8 4 30 0
a 8 30 72 0
a 8 32 72 1
a 8 72 44 0
a 8 4 44 1
a 8 44 43 0
a 8 3 43 1
a 8 43 70 0
a 8 30 70 1
a 8 70 81 0
a 9 80 5 0
a 9 5 0 0
a 9 0 1 0
a 9 1 10 0
a 9 10 23 0
a 9 23 9 0
a 9 9 29 0
a 9 29 11 0
a 9 11 50 0
a 9 10 50 1
a 9 50 41 0
a 9 1 41 1
a 9 41 45 0
a 9 5 45 1
a 9 45 63 0
a 9 23 63 1
a 9 63 40 0
a 9 0 40 1
a 9 40 26 0
a 9 26 35 0
a 9 35 19 0
a 9 19 69 0
a 9 29 69 1
a 9 69 49 0
a 9 9 49 1
a 9 49 3 0
a 9 3 51 0
a 9 11 51 1
a 9 51 38 0
a 9 38 4 0
a 9 4 66 0
a 9 26 66 1
a 9 66 59 0
a 9 19 59 1
a 9 59 44 0
a 9 4 44 1
a 9 44 43 0
a 9 3 43 1
a 9 43 75 0
a 9 35 75 1
a 9 75 78 0
a 9 38 78 1
a 9 78 81 0
a 10 80 18 0
a 10 18 25 0
a 10 25 27 0
a 10 27 23 0
a 10 23 16 0
a 10 16 20 0
a 10 20 8 0
a 10 8 15 0
a 10 15 58 0
a 10 18 58 1
a 10 58 17 0
a 10 17 67 0
a 10 27 67 1
a 10 67 63 0
a 10 23 63 1
a 10 63 65 0
a 10 25 65 1
a 10 65 32 0
a 10 32 60 0
a 10 20 60 1
a 10 60 26 0
a 10 26 56 0
a 10 16 56 1
a 10 56 37 0
a 10 37 48 0
a 10 8 48 1
a 10 48 39 0
a 10 39 12 0
a 10 12 24 0
a 10 24 55 0
a 10 15 55 1
a 10 55 4 0
a 10 4 21 0
a 10 21 34 0
a 10 34 14 0
a 10 14 66 0
a 10 26 66 1
a 10 66 57 0
a 10 17 57 1
a 10 57 79 0
a 10 39 79 1
a 10 79 72 0
a 10 32 72 1
a 10 72 64 0
a 10 24 64 1
a 10 64 52 0
a 10 12 52 1
a 10 52 44 0
a 10 4 44 1
a 10 44 61 0
a 10 21 61 1
a 10 61 54 0
a 10 14 54 1
a 10 54 77 0
a 10 37 77 1
a 10 77 74 0
a 10 34 74 1
a 10 74 81 0
a 11 80 0 0
a 11 0 9 0
a 11 9 11 0
a 11 11 6 0
a 11 6 40 0
a 11 0 40 1
a 11 40 26 0
a 11 26 49 0
a 11 9 49 1
a 11 49 46 0
a 11 6 46 1
a 11 46 37 0
a 11 37 3 0
a 11 3 51 0
a 11 11 51 1
a 11 51 24 0
a 11 24 38 0
a 11 38 34 0
a 11 34 31 0
a 11 31 14 0
a 11 14 66 0
a 11 26 66 1
a 11 66 64 0
a 11 24 64 1
a 11 64 43 0
a 11 3 43 1
a 11 43 54 0
a 11 14 54 1
a 11 54 77 0
a 11 37 77 1
a 11 77 71 0
a 11 31 71 1
a 11 71 78 0
a 11 38 78 1
a 11 78 74 0
a 11 34 74 1
a 11 74 81 0
a 12 80 25 0
a 12 25 0 0
a 12 0 1 0
a 12 1 33 0
a 12 33 27 0
a 12 27 9 0
a 12 9 22 0
a 12 22 11 0
a 12 11 8 0
a 12 8 6 0
a 12 6 73 0
a 12 33 73 1
a 12 73 41 0
a 12 1 41 1
a 12 41 67 0
a 12 27 67 1
a 12 67 40 0
a 12 0 40 1
a 12 40 65 0
a 12 25 65 1
a 12 65 32 0
a 12 32 49 0
a 12 9 49 1
a 12 49 46 0
a 12 6 46 1
a 12 46 48 0
a 12 8 48 1
a 12 48 62 0
a 12 22 62 1
a 12 62 51 0
a 12 11 51 1
a 12 51 28 0
a 12 28 38 0
a 12 38 21 0
a 12 21 72 0
a 12 32 72 1
a 12 72 68 0
a 12 28 68 1
a 12 68 61 0
a 12 21 61 1
a 12 61 78 0
a 12 38 78 1
a 12 78 81 0
a 13 80 25 0
a 13 25 27 0
a 13 27 10 0
a 13 10 16 0
a 13 16 8 0
a 13 8 6 0
a 13 6 50 0
a 13 10 50 1
a 13 50 67 0
a 13 27 67 1
a 13 67 65 0
a 13 25 65 1
a 13 65 36 0
a 13 36 56 0
a 13 16 56 1
a 13 56 35 0
a 13 35 46 0
a 13 6 46 1
a 13 46 37 0
a 13 37 48 0
a 13 8 48 1
a 13 48 4 0
a 13 4 21 0
a 13 21 76 0
a 13 36 76 1
a 13 76 44 0
a 13 4 44 1
a 13 44 61 0
a 13 21 61 1
a 13 61 75 0
a 13 35 75 1
a 13 75 77 0
a 13 37 77 1
a 13 77 81 0
a 14 80 18 0
a 14 18 10 0
a 14 10 2 0
a 14 2 50 0
a 14 10 50 1
a 14 50 42 0
a 14 2 42 1
a 14 42 58 0
a 14 18 58 1
a 14 58 26 0
a 14 26 37 0
a 14 37 13 0
a 14 13 24 0
a 14 24 28 0
a 14 28 38 0
a 14 38 30 0
a 14 30 66 0
a 14 26 66 1
a 14 66 64 0
a 14 24 64 1
a 14 64 68 0
a 14 28 68 1
a 14 68 77 0
a 14 37 77 1
a 14 77 78 0
a 14 38 78 1
a 14 78 53 0
a 14 13 53 1
a 14 53 70 0
a 14 30 70 1
a 14 70 81 0
a 15 80 25 0
a 15 25 33 0
a 15 33 7 0
a 15 7 27 0
a 15 27 2 0
a 15 2 20 0
a 15 20 22 0
a 15 22 6 0
a 15 6 73 0
a 15 33 73 1
a 15 73 42 0
a 15 2 42 1
a 15 42 47 0
a 15 7 47 1
a 15 47 67 0
a 15 27 67 1
a 15 67 65 0
a 15 25 65 1
a 15 65 32 0
a 15 32 60 0
a 15 20 60 1
a 15 60 26 0
a 15 26 35 0
a 15 35 46 0
a 15 6 46 1
a 15 46 62 0
a 15 22 62 1
a 15 62 12 0
a 15 12 24 0
a 15 24 28 0
a 15 28 31 0
a 15 31 66 0
a 15 26 66 1
a 15 66 72 0
a 15 32 72 1
a 15 72 64 0
a 15 24 64 1
a 15 64 52 0
a 15 12 52 1
a 15 52 68 0
a 15 28 68 1
a 15 68 75 0
a 15 35 75 1
a 15 75 71 0
a 15 31 71 1
a 15 71 81 0
a 16 80 25 0
a 16 25 33 0
a 16 33 10 0
a 16 10 23 0
a 16 23 9 0
a 16 9 6 0
a 16 6 73 0
a 16 33 73 1
a 16 73 50 0
a 16 10 50 1
a 16 50 63 0
a 16 23 63 1
a 16 63 65 0
a 16 25 65 1
a 16 65 32 0
a 16 32 26 0
a 16 26 35 0
a 16 35 49 0
a 16 9 49 1
a 16 49 46 0
a 16 6 46 1
a 16 46 39 0
a 16 39 24 0
a 16 24 38 0
a 16 38 21 0
a 16 21 31 0
a 16 31 30 0
a 16 30 66 0
a 16 26 66 1
a 16 66 79 0
a 16 39 79 1
a 16 79 72 0
a 16 32 72 1
a 16 72 64 0
a 16 24 64 1
a 16 64 61 0
a 16 21 61 1
a 16 61 75 0
a 16 35 75 1
a 16 75 71 0
a 16 31 71 1
a 16 71 78 0
a 16 38 78 1
a 16 78 70 0
a 16 30 70 1
a 16 70 81 0
a 17 80 5 0
a 17 5 10 0
a 17 10 2 0
a 17 2 23 0
a 17 23 20 0
a 17 20 6 0
a 17 6 50 0
a 17 10 50 1
a 17 50 42 0
a 17 2 42 1
a 17 42 17 0
a 17 17 45 0
a 17 5 45 1
a 17 45 63 0
a 17 23 63 1
a 17 63 60 0
a 17 20 60 1
a 17 60 35 0
a 17 35 46 0
a 17 6 46 1
a 17 46 37 0
a 17 37 3 0
a 17 3 13 0
a 17 13 24 0
a 17 24 28 0
a 17 28 4 0
a 17 4 57 0
a 17 17 57 1
a 17 57 64 0
a 17 24 64 1
a 17 64 44 0
a 17 4 44 1
a 17 44 68 0
a 17 28 68 1
a 17 68 43 0
a 17 3 43 1
a 17 43 75 0
a 17 35 75 1
a 17 75 77 0
a 17 37 77 1
a 17 77 53 0
a 17 13 53 1
a 17 53 81 0
a 18 80 18 0
a 18 18 33 0
a 18 33 27 0
a 18 27 22 0
a 18 22 15 0
a 18 15 73 0
a 18 33 73 1
a 18 73 58 0
a 18 18 58 1
a 18 58 67 0
a 18 27 67 1
a 18 67 36 0
a 18 36 35 0
a 18 35 37 0
a 18 37 62 0
a 18 22 62 1
a 18 62 12 0
a 18 12 13 0
a 18 13 28 0
a 18 28 55 0
a 18 15 55 1
a 18 55 31 0
a 18 31 14 0
a 18 14 76 0
a 18 36 76 1
a 18 76 52 0
a 18 12 52 1
a 18 52 68 0
a 18 28 68 1
a 18 68 75 0
a 18 35 75 1
a 18 75 54 0
a 18 14 54 1
a 18 54 77 0
a 18 37 77 1
a 18 77 71 0
a 18 31 71 1
a 18 71 53 0
a 18 13 53 1
a 18 53 81 0
a 19 80 5 0
a 19 5 18 0
a 19 18 33 0
a 19 33 27 0
a 19 27 23 0
a 19 23 2 0
a 19 2 22 0
a 19 22 73 0
a 19 33 73 1
a 19 73 42 0
a 19 2 42 1
a 19 42 58 0
a 19 18 58 1
a 19 58 45 0
a 19 5 45 1
a 19 45 67 0
a 19 27 67 1
a 19 67 63 0
a 19 23 63 1
a 19 63 32 0
a 19 32 62 0
a 19 22 62 1
a 19 62 4 0
a 19 4 72 0
a 19 32 72 1
a 19 72 44 0
a 19 4 44 1
a 19 44 81 0
a 20 80 5 0
a 20 5 33 0
a 20 33 2 0
a 20 2 20 0
a 20 20 29 0
a 20 29 22 0
a 20 22 15 0
a 20 15 73 0
a 20 33 73 1
a 20 73 42 0
a 20 2 42 1
a 20 42 17 0
a 20 17 45 0
a 20 5 45 1
a 20 45 36 0
a 20 36 60 0
a 20 20 60 1
a 20 60 19 0
a 20 19 69 0
a 20 29 69 1
a 20 69 37 0
a 20 37 62 0
a 20 22 62 1
a 20 62 3 0
a 20 3 55 0
a 20 15 55 1
a 20 55 4 0
a 20 4 14 0
a 20 14 57 0
a 20 17 57 1
a 20 57 59 0
a 20 19 59 1
a 20 59 76 0
a 20 36 76 1
a 20 76 44 0
a 20 4 44 1
a 20 44 43 0
a 20 3 43 1
a 20 43 54 0
a 20 14 54 1
a 20 54 77 0
a 20 37 77 1
a 20 77 81 0
a 21 80 2 0
a 21 2 23 0
a 21 23 42 0
a 21 2 42 1
a 21 42 63 0
a 21 23 63 1
a 21 63 36 0
a 21 36 19 0
a 21 19 12 0
a 21 12 38 0
a 21 38 4 0
a 21 4 34 0
a 21 34 30 0
a 21 30 59 0
a 21 19 59 1
a 21 59 76 0
a 21 36 76 1
a 21 76 52 0
a 21 12 52 1
a 21 52 44 0
a 21 4 44 1
a 21 44 78 0
a 21 38 78 1
a 21 78 70 0
a 21 30 70 1
a 21 70 74 0
a 21 34 74 1
a 21 74 81 0
a 22 80 1 0
a 22 1 27 0
a 22 27 10 0
a 22 10 20 0
a 22 20 9 0
a 22 9 22 0
a 22 22 6 0
a 22 6 15 0
a 22 15 50 0
a 22 10 50 1
a 22 50 41 0
a 22 1 41 1
a 22 41 17 0
a 22 17 67 0
a 22 27 67 1
a 22 67 36 0
a 22 36 60 0
a 22 20 60 1
a 22 60 35 0
a 22 35 49 0
a 22 9 49 1
a 22 49 46 0
a 22 6 46 1
a 22 46 62 0
a 22 22 62 1
a 22 62 39 0
a 22 39 55 0
a 22 15 55 1
a 22 55 38 0
a 22 38 21 0
a 22 21 31 0
a 22 31 30 0
a 22 30 57 0
a 22 17 57 1
a 22 57 76 0
a 22 36 76 1
a 22 76 79 0
a 22 39 79 1
a 22 79 61 0
a 22 21 61 1
a 22 61 75 0
a 22 35 75 1
a 22 75 71 0
a 22 31 71 1
a 22 71 78 0
a 22 38 78 1
a 22 78 70 0
a 22 30 70 1
a 22 70 81 0
a 23 80 18 0
a 23 18 25 0
a 23 25 1 0
a 23 1 16 0
a 23 16 29 0
a 23 29 6 0
a 23 6 58 0
a 23 18 58 1
a 23 58 41 0
a 23 1 41 1
a 23 41 17 0
a 23 17 65 0
a 23 25 65 1
a 23 65 56 0
a 23 16 56 1
a 23 56 69 0
a 23 29 69 1
a 23 69 46 0
a 23 6 46 1
a 23 46 21 0
a 23 21 34 0
a 23 34 31 0
a 23 31 14 0
a 23 14 57 0
a 23 17 57 1
a 23 57 61 0
a 23 21 61 1
a 23 61 54 0
a 23 14 54 1
a 23 54 71 0
a 23 31 71 1
a 23 71 74 0
a 23 34 74 1
a 23 74 81 0
